371,GPR37
372,GPR56
373,GPSM2
374,GRB2
375,GRIK1
376,GRK4
377,GSTM5
378,GTF2E1
379,GTF2H1
380,GTPBP1
381,GUCY1A3
382,GUCY2D
383,GZMA
384,GZMK
385,H1F0
386,H1FX
387,HABP2
388,HAL
389,HCFC1
390,HCLS1
391,HDAC9
392,HEXA
393,HGF
394,HHEX
395,HIST1H1T
396,HIST1H2AG
397,HIST1H2BJ
398,HIST1H3H
399,HIST2H2BE
400,HIVEP1
401,HOXA5
402,HP
403,HPD
404,HPGD
405,HPRT1
406,HPS1
407,HPX
408,HRSP12
409,HSD11B2
410,HSD17B2
411,HSD3B2
412,HSF1
413,HSF4
414,HSP90B1
415,HTATSF1
416,HTRA2
417,HYOU1
418,ICAM2
419,IDH3G
420,IDUA
421,IGF2
422,IGF2BP2
423,IGF2BP3
424,IGFBP1
425,IKBKAP
426,IL12A
427,IL15
428,IL17B
429,IL1B
430,IL1R2
431,IL1RL1
432,IL2RG
433,IL6ST
434,ILF2
435,IMPA2
436,INHBA
437,INPP5A
438,INPP5B
439,IRAK1
440,IRF3
441,IRF5
442,ISG15
443,ISL1
444,ITGA2
445,ITGA5
446,ITGA6
447,ITGA7
448,ITGB6
449,ITGB8
450,ITIH3
451,ITIH4
452,ITK
453,ITM2B
454,ITPK1
455,ITPKA
456,ITPR3
457,JAK1
458,KCNAB1
459,KCNJ15
460,KCNK1
461,KCNK3
462,KCNN2
463,KCNQ1
464,KCNRG
465,KHK
466,KIAA0101
467,KIAA0141
468,KIAA0196
469,KIAA0430
470,KIAA0664
471,KIF11
472,KIF1A
473,KIF22
474,KIF5B
475,KISS1
476,KL
477,KLF1
478,KLF4
479,KLKB1
480,KRT14
481,KRT20
482,KRT35
483,KRT7
484,KRT86
485,KRT9
486,KYNU
487,LAMA3
488,LAMB3
489,LAPTM4B
490,LASP1
491,LCN2
492,LEPROT
493,LEPROTL1
494,LGALS3BP
495,LGALS8
496,LHFPL2
497,LIFR
498,LIMK1
499,LIPC
500,LMOD1
501,LMTK2
502,LNX1
503,LOXL2
504,LRPAP1
505,LRPPRC
506,LRRC14
507,LRRC23
508,LRRC32
509,LSM7
510,LSS
