"","x"
"1","A2M; GNAS"
"2","A2M; UBE2C"
"3","A4GALT; ALCAM"
"4","A4GALT; CXADR"
"5","A4GALT; DOCK2"
"6","A4GALT; DUSP1"
"7","A4GALT; EPB41"
"8","A4GALT; GNB2L1"
"9","A4GALT; HADHA"
"10","A4GALT; HTRA2"
"11","A4GALT; MATR3"
"12","A4GALT; MLLT1"
"13","A4GALT; NANOS1"
"14","A4GALT; RAB2A"
"15","A4GALT; RXRB"
"16","A4GALT; SLC7A2"
"17","A4GALT; SMAD7"
"18","A4GALT; SMARCD1"
"19","A4GALT; SSFA2"
"20","A4GALT; TJP1"
"21","A4GALT; UCK2"
"22","AAMP; ARPC1A"
"23","AAMP; ARPC4"
"24","AAMP; ASPH"
"25","AAMP; CORO2A"
"26","AAMP; ENAH"
"27","AAMP; FAM114A1"
"28","AAMP; GPD1"
"29","AAMP; HGF"
"30","AAMP; KATNB1"
"31","AAMP; LDOC1"
"32","AAMP; LIMK2"
"33","AAMP; LMAN2"
"34","AAMP; LMNB1"
"35","AAMP; LMTK2"
"36","AAMP; MMP11"
"37","AAMP; MSH2"
"38","AAMP; NCSTN"
"39","AAMP; NDUFA1"
"40","AAMP; PDCD6"
"41","AAMP; SEMA4F"
"42","AAMP; TPR"
"43","AAMP; TSN"
"44","AAMP; TUBB"
"45","AAMP; UMPS"
"46","AAMP; VPS72"
"47","AAMP; YWHAZ"
"48","AARS; CBX5"
"49","AARS; COPS5"
"50","AARS; CYP21A2"
"51","AARS; GHR"
"52","AARS; HCLS1"
"53","AARS; HEXA"
"54","AARS; LAMA3"
"55","AARS; LTBP2"
"56","AARS; NEB"
"57","AARS; NOL7"
"58","AARS; SORT1"
"59","AARS; TCEB1"
"60","AARS; USP5"
"61","AARS; ZFX"
"62","ABAT; CBLN1"
"63","ABAT; CCNE2"
"64","ABAT; CENPF"
"65","ABAT; CPXM1"
"66","ABAT; EPHA3"
"67","ABAT; ERLIN1"
"68","ABAT; F9"
"69","ABAT; FOXK2"
"70","ABAT; GABBR1"
"71","ABAT; GPD2"
"72","ABAT; ITGA6"
"73","ABAT; ITPKA"
"74","ABAT; MMP9"
"75","ABAT; PSME3"
"76","ABAT; SMARCD1"
"77","ABAT; SQSTM1"
"78","ABAT; SRPK1"
"79","ABAT; SYNE1"
"80","ABAT; XPC"
"81","ABCA1; ACTG2"
"82","ABCA1; ADRA1A"
"83","ABCA1; AEBP1"
"84","ABCA1; AP3D1"
"85","ABCA1; AP3S1"
"86","ABCA1; BCAT2"
"87","ABCA1; BPTF"
"88","ABCA1; BTG1"
"89","ABCA1; CACNA1D"
"90","ABCA1; CACNB2"
"91","ABCA1; CDC6"
"92","ABCA1; CLCN5"
"93","ABCA1; CPZ"
"94","ABCA1; CRIM1"
"95","ABCA1; CXCL14"
"96","ABCA1; DGAT1"
"97","ABCA1; ETV4"
"98","ABCA1; F9"
"99","ABCA1; FXYD2"
"100","ABCA1; GDPD5"
"101","ABCA1; HIST1H2BJ"
"102","ABCA1; HMGA1"
"103","ABCA1; HMGN1"
"104","ABCA1; HOXB5"
"105","ABCA1; HSPA9"
"106","ABCA1; IGF2"
"107","ABCA1; KDELR2"
"108","ABCA1; KIAA0020"
"109","ABCA1; MAGI1"
"110","ABCA1; MCRS1"
"111","ABCA1; MET"
"112","ABCA1; MIF"
"113","ABCA1; MMP14"
"114","ABCA1; MMRN1"
"115","ABCA1; NDRG2"
"116","ABCA1; NFIL3"
"117","ABCA1; NR5A1"
"118","ABCA1; PRKAR2B"
"119","ABCA1; PSMA7"
"120","ABCA1; RAI14"
"121","ABCA1; REG3A"
"122","ABCA1; RFC1"
"123","ABCA1; RNF5"
"124","ABCA1; RORB"
"125","ABCA1; RPS5"
"126","ABCA1; RSU1"
"127","ABCA1; SCAMP1"
"128","ABCA1; SEMA3F"
"129","ABCA1; SLC43A1"
"130","ABCA1; SMAD3"
"131","ABCA1; SMAD7"
"132","ABCA1; SMARCD1"
"133","ABCA1; SNTB1"
"134","ABCA1; SPAG9"
"135","ABCA1; SPTA1"
"136","ABCA1; SYT7"
"137","ABCA1; TIAL1"
"138","ABCA1; TIMP1"
"139","ABCA1; TNPO1"
"140","ABCA1; UCN"
"141","ABCA1; WWP1"
"142","ABCA1; YIF1A"
"143","ABCA2; AARS"
"144","ABCA2; AMFR"
"145","ABCA2; AZIN1"
"146","ABCA2; BCL2L1"
"147","ABCA2; BTD"
