"","x"
"1","ABCA6"
"2","ABCA8"
"3","ABCB4"
"4","ABHD3"
"5","ACAT1"
"6","ACO1"
"7","ACSL3"
"8","ACSM3"
"9","ADAMTSL2"
"10","ADAMTSL3"
"11","ADAR"
"12","ADNP"
"13","ADSL"
"14","AEBP1"
"15","AGTR1"
"16","AIM1"
"17","AKAP2"
"18","AMD1"
"19","ANAPC5"
"20","ANKS1A"
"21","ANXA6"
"22","AOC3"
"23","APCS"
"24","APEX1"
"25","APOL1"
"26","APOLD1"
"27","AQP1"
"28","AQR"
"29","ARF1"
"30","ARHGAP15"
"31","ARID4B"
"32","ARL8B"
"33","ARPC5"
"34","ARPC5L"
"35","ASNA1"
"36","ASPN"
"37","ATF5"
"38","ATIC"
"39","ATOX1"
"40","ATP1A1"
"41","ATP1B1"
"42","ATP2A2"
"43","ATP5C1"
"44","ATP5F1"
"45","ATP5H"
"46","ATP5J2"
"47","ATP5L"
"48","ATP6AP1"
"49","ATP6V0B"
"50","ATP6V1D"
"51","ATP8B4"
"52","ATRN"
"53","AURKB"
"54","AXL"
"55","AZIN1"
"56","BANF1"
"57","BASP1"
"58","BCAS2"
"59","BCL9"
"60","BGN"
"61","BIN2"
"62","BLM"
"63","BLNK"
"64","BLVRB"
"65","BMI1"
"66","BRCA1"
"67","BRP44"
"68","BSDC1"
"69","BTAF1"
"70","BTBD1"
"71","BTF3"
"72","BUB1"
"73","BUB1B"
"74","BZW2"
"75","C11orf10"
"76","C12orf48"
"77","C14orf159"
"78","C14orf166"
"79","C15orf24"
"80","C19orf10"
"81","C1orf112"
"82","C1orf38"
"83","C1QTNF1"
"84","C1S"
"85","C20orf11"
"86","C20orf20"
"87","C20orf24"
"88","C2orf28"
"89","C7"
"90","C9"
"91","CA2"
"92","CACYBP"
"93","CALD1"
"94","CALM1"
"95","CALM2"
"96","CAMK2B"
"97","CAMSAP1"
"98","CAP1"
"99","CAPN2"
"100","CAPNS1"
"101","CARHSP1"
"102","CAV1"
"103","CBFA2T2"
"104","CBX1"
"105","CBX3"
"106","CBX4"
"107","CCDC28A"
"108","CCDC72"
"109","CCDC99"
"110","CCL2"
"111","CCL21"
"112","CCNA2"
"113","CCNB2"
"114","CCNE2"
"115","CCNF"
"116","CCPG1"
"117","CCT2"
"118","CCT3"
"119","CCT4"
"120","CCT5"
"121","CCT6A"
"122","CCT8"
"123","CD14"
"124","CD2AP"
"125","CD302"
"126","CD4"
"127","CD46"
"128","CD63"
"129","CD81"
"130","CD93"
"131","CDC20"
"132","CDC25A"
"133","CDC25C"
"134","CDC6"
"135","CDCA3"
"136","CDCA4"
"137","CDCA8"
"138","CDK2AP1"
"139","CDKN2A"
"140","CDKN2C"
"141","CDS2"
"142","CELSR3"
"143","CENPA"
"144","CENPE"
"145","CENPF"
"146","CENPN"
"147","CEP55"
"148","CETN2"
"149","CFD"
"150","CFH"
"151","CFI"
"152","CFL1"
"153","CH25H"
"154","CHCHD3"
"155","CHD9"
"156","CHEK1"
"157","CHST4"
"158","CHST7"
"159","CKS1B"
"160","CLEC1B"
"161","CLEC3B"
"162","CLEC4M"
"163","CLEC7A"
"164","CLIC1"
"165","CLNS1A"
"166","CNDP2"
"167","COCH"
"168","COL14A1"
"169","COL15A1"
"170","COL4A1"
"171","COL4A2"
"172","COL5A2"
"173","COL6A2"
"174","COLEC10"
"175","COMT"
"176","COPB1"
"177","COPS3"
"178","COPS6"
"179","COPZ2"
"180","COX6C"
"181","COX7A2"
"182","COX8A"
"183","CP"
"184","CPD"
"185","CPT2"
"186","CPZ"
"187","CREBL2"
"188","CRHBP"
"189","CRKL"
"190","CRYL1"
"191","CSE1L"
"192","CSF1R"
"193","CSNK2B"
"194","CSRP1"
"195","CSTB"
"196","CTNNA1"
"197","CTNNAL1"
"198","CTR9"
"199","CTSA"
"200","CXCL12"
"201","CXCL14"
"202","CXorf57"
"203","CYC1"
"204","CYCS"
"205","CYLD"
"206","CYP2E1"
"207","CYR61"
"208","DAAM2"
"209","DAP3"
"210","DARS"
"211","DCN"
"212","DDB2"
"213","DDOST"
