"","x"
"214","DDX1"
"215","DDX21"
"216","DDX50"
"217","DEK"
"218","DENR"
"219","DEPDC1"
"220","DERL1"
"221","DHX15"
"222","DIP2C"
"223","DLEU2"
"224","DNAJC12"
"225","DNAJC6"
"226","DNAJC9"
"227","DNASE1L3"
"228","DNMT3A"
"229","DPM1"
"230","DPT"
"231","DPYD"
"232","DRG1"
"233","DSP"
"234","DUSP9"
"235","DYNC1I2"
"236","DYNLL1"
"237","DYNLRB1"
"238","E2F5"
"239","ECM1"
"240","ECM2"
"241","EDEM1"
"242","EEF1B2"
"243","EFCAB2"
"244","EFEMP2"
"245","EGFL8"
"246","EHD3"
"247","EHD4"
"248","EIF1"
"249","EIF1B"
"250","EIF4A2"
"251","EIF4E"
"252","EIF4H"
"253","ELOVL1"
"254","ELOVL5"
"255","EMG1"
"256","EMILIN1"
"257","ENPEP"
"258","ENY2"
"259","EPAS1"
"260","EPHA3"
"261","ERH"
"262","ETFDH"
"263","EVI2B"
"264","EWSR1"
"265","EXO1"
"266","FAT4"
"267","FAU"
"268","FBL"
"269","FBLN5"
"270","FBXL6"
"271","FBXO5"
"272","FBXO9"
"273","FBXW2"
"274","FCGRT"
"275","FGFR4"
"276","FHL1"
"277","FKBP11"
"278","FKBP3"
"279","FKBP4"
"280","FLRT2"
"281","FMR1"
"282","FNTA"
"283","FOXA1"
"284","FUCA1"
"285","FXYD6"
"286","FYN"
"287","GABARAPL1"
"288","GAPDH"
"289","GAS6"
"290","GEM"
"291","GIMAP4"
"292","GINS3"
"293","GINS4"
"294","GLDC"
"295","GLMN"
"296","GLO1"
"297","GLRX"
"298","GLT8D2"
"299","GLUD1"
"300","GMPS"
"301","GNAZ"
"302","GNG10"
"303","GNG5"
"304","GNPAT"
"305","GOLGA7"
"306","GOLPH3"
"307","GPM6A"
"308","GPNMB"
"309","GPR126"
"310","GPSM2"
"311","GRB14"
"312","GRN"
"313","GSN"
"314","GSPT2"
"315","GYPC"
"316","GYS2"
"317","GZMK"
"318","H2AFX"
"319","H3F3A"
"320","H3F3B"
"321","HABP2"
"322","HBXIP"
"323","HCLS1"
"324","HDAC2"
"325","HDGF"
"326","HEBP1"
"327","HERPUD1"
"328","HEXB"
"329","HGF"
"330","HIF1A"
"331","HIST1H4C"
"332","HMGA1"
"333","HMGN1"
"334","HMGN2"
"335","HMMR"
"336","HOMER2"
"337","HSD11B1"
"338","HSD17B2"
"339","HSP90AA1"
"340","HSP90AB1"
"341","HSPA5"
"342","HSPD1"
"343","HSPE1"
"344","HTATIP2"
"345","IARS"
"346","ID3"
"347","IFNGR2"
"348","IGF2BP3"
"349","IGFBP3"
"350","IGFBP4"
"351","IGJ"
"352","IGSF1"
"353","IKBKAP"
"354","IL17RB"
"355","IL1R1"
"356","IL1RAP"
"357","IMMT"
"358","INTS8"
"359","IPO7"
"360","ITGB5"
"361","ITPKA"
"362","JTB"
"363","KARS"
"364","KCMF1"
"365","KCNJ8"
"366","KHDRBS1"
"367","KIAA0368"
"368","KIF11"
"369","KIF14"
"370","KIF15"
"371","KIF18A"
"372","KIF23"
"373","KIF2C"
"374","KIF4A"
"375","KIFAP3"
"376","KIFC1"
"377","KLF2"
"378","KLF9"
"379","KLHL23"
"380","KLHL7"
"381","KRT10"
"382","KYNU"
"383","LAMA2"
"384","LAMA3"
"385","LAMC3"
"386","LANCL1"
"387","LBR"
"388","LCP2"
"389","LDB2"
"390","LEPR"
"391","LGALS8"
"392","LIG3"
"393","LIMS2"
"394","LMNB1"
"395","LPL"
"396","LRP1"
"397","LRPAP1"
"398","LRPPRC"
"399","LRRC32"
"400","LSM14A"
"401","LSM3"
"402","LST1"
"403","LTA4H"
"404","LTBP1"
"405","LUM"
"406","LYZ"
"407","MACF1"
"408","MAN1C1"
"409","MAP3K9"
"410","MAPKAPK5"
"411","MAPT"
"412","MARCKSL1"
"413","MARCO"
"414","MASP1"
"415","MBNL2"
"416","MCM10"
"417","MEIS2"
"418","MEP1A"
"419","METAP2"
"420","METTL5"
"421","METTL9"
"422","MFAP4"
"423","MGLL"
"424","MKKS"
"425","MKRN1"
"426","MLYCD"
"427","MMD"
"428","MMP12"
"429","MNS1"
"430","MORF4L2"
"431","MOSPD1"
"432","MPDZ"
"433","MRC1"
"434","MRPL15"
"435","MRPL3"
"436","MRPL9"
"437","MRPS35"
"438","MRPS7"
"439","MSH5"
"440","MSRA"
"441","MTDH"
"442","MTMR6"
"443","MTR"
"444","MXRA8"
"445","MYBL2"
"446","MYLK"
"447","MYO10"
"448","MYO1B"
"449","NACA"
"450","NAP1L1"
"451","NARS"
"452","NBLA00301"
"453","NCAPD2"
"454","NCAPH"
"455","NCL"
"456","NCOA6"
"457","NDUFA1"
"458","NDUFA13"
"459","NDUFA4"
"460","NDUFA6"
"461","NDUFB3"
"462","NDUFS8"
"463","NEB"
"464","NEIL3"
"465","NEK2"
"466","NEK7"
"467","NGFR"
"468","NGRN"
"469","NHP2L1"
"470","NIF3L1"
"471","NME1"
"472","NOC3L"
"473","NOL11"
"474","NOL7"
"475","NOMO2"
"476","NONO"
"477","NPC2"
"478","NPM1"
"479","NPY1R"
"480","NR2F2"
"481","NR5A2"
"482","NSL1"
"483","NT5C2"
"484","NUCB2"
"485","NUP107"
"486","OAZ1"
"487","ODC1"
"488","OIP5"
"489","OLFML3"
"490","OPN3"
"491","OPTN"
"492","PABPC1"
"493","PACSIN2"
"494","PAIP1"
"495","PAK3"
"496","PALLD"
"497","PAPSS2"
"498","PCID2"
"499","PCNA"
"500","PCNP"
"501","PDCD6IP"
"502","PDE2A"
"503","PDGFA"
"504","PDGFC"
"505","PDGFRA"
"506","PDIA4"
"507","PDIA6"
"508","PDK4"
"509","PDLIM5"
"510","PDZK1IP1"
"511","PEX11B"
"512","PFDN2"
"513","PGLS"
"514","PHGDH"
"515","PIGZ"
"516","PIK3R3"
"517","PINK1"
"518","PKD2"
"519","PLAC8"
"520","PLOD2"
"521","PLVAP"
"522","PLXNC1"
"523","PODXL"
"524","POLQ"
"525","POLR1D"
"526","POLR2B"
"527","POLR2G"
"528","POLR2H"
"529","POLR3E"
"530","PON2"
"531","PPA1"
"532","PPAT"
"533","PPIC"
"534","PPP1CC"
"535","PPT1"
"536","PRDX1"
"537","PRELP"
"538","PRKAB1"
"539","PROS1"
"540","PROSC"
"541","PRPF40A"
"542","PSEN1"
"543","PSIP1"
"544","PSMA4"
"545","PSMA6"
"546","PSMB3"
"547","PSMB4"
"548","PSMB5"
"549","PSMC2"
"550","PSMC3IP"
"551","PSMC4"
"552","PSMC5"
"553","PSMC6"
"554","PSMD4"
"555","PSRC1"
"556","PTDSS1"
"557","PTGES3"
"558","PTPLB"
"559","PTRH2"
"560","PTS"
"561","PUM1"
"562","PUM2"
"563","QARS"
"564","RAB11FIP1"
"565","RAB3B"
"566","RABGGTB"
"567","RAC1"
"568","RACGAP1"
"569","RAD21"
"570","RAD51"
"571","RAD54B"
"572","RAI14"
"573","RAMP3"
"574","RAN"
"575","RBBP7"
"576","RBKS"
"577","RBMX"
"578","RBP1"
"579","RDH14"
"580","REPIN1"
"581","REXO2"
"582","REXO4"
"583","RGL1"
"584","RGS5"
"585","RHOB"
"586","RHOC"
"587","RNASE4"
"588","RNASEH2A"
"589","RNF139"
"590","RNF14"
"591","RNF4"
"592","RNPS1"
"593","ROCK2"
"594","ROD1"
"595","RPL10A"
"596","RPL13A"
"597","RPL14"
"598","RPL15"
"599","RPL18A"
"600","RPL23A"
"601","RPL24"
"602","RPL27"
"603","RPL29"
"604","RPL30"
"605","RPL31"
"606","RPL35"
"607","RPL36"
"608","RPL36A"
"609","RPL4"
"610","RPL6"
"611","RPL7A"
"612","RPL8"
"613","RPLP0"
"614","RPLP1"
"615","RPN1"
"616","RPN2"
"617","RPS10"
"618","RPS12"
"619","RPS13"
"620","RPS16"
"621","RPS17"
"622","RPS18"
"623","RPS19"
"624","RPS20"
"625","RPS23"
"626","RPS24"
"627","RPS27"
"628","RPS27A"
"629","RPS29"
"630","RPS3"
"631","RPS3A"
"632","RPS5"
"633","RPS7"
"634","RPS8"
"635","RPSA"
"636","RRAGC"
"637","RTN3"
"638","RUNX1T1"
"639","RUVBL2"
"640","SAR1A"
"641","SDHA"
"642","SEC61B"
"643","SEC61G"
"644","SEMA5A"
"645","SEPHS1"
"646","SERBP1"
"647","SERPINA7"
"648","SET"
"649","SH3YL1"
"650","SHOC2"
"651","SIGIRR"
"652","SLA"
"653","SLBP"
"654","SLC12A4"
"655","SLC16A4"
"656","SLC1A1"
"657","SLC2A5"
"658","SLC31A2"
"659","SLC35D2"
"660","SLC5A3"
"661","SLC6A8"
"662","SLC7A11"
"663","SLCO1B3"
"664","SLCO2B1"
"665","SMARCA2"
"666","SMARCE1"
"667","SMNDC1"
"668","SMPD1"
"669","SNRPA1"
"670","SNRPB"
"671","SNRPD1"
"672","SNRPD2"
"673","SNRPE"
"674","SNRPF"
"675","SNRPG"
"676","SNX7"
"677","SOX13"
"678","SP3"
"679","SPAG5"
"680","SPAG7"
"681","SPCS2"
"682","SPG20"
"683","SPRY2"
"684","SRD5A1"
"685","SRP72"
"686","SRP9"
"687","SRPK1"
"688","SRPX"
"689","SSB"
"690","SSR2"
"691","STAB2"
"692","STAG2"
"693","STAU1"
"694","STAU2"
"695","STC2"
"696","STEAP1"
"697","STIL"
"698","STK3"
"699","STXBP1"
"700","SUB1"
"701","SUCLG2"
"702","SUMO2"
"703","SVEP1"
"704","SYNCRIP"
"705","SYNE1"
"706","SYPL1"
"707","TAF2"
"708","TAF4"
"709","TAGLN2"
"710","TALDO1"
"711","TARDBP"
"712","TARS"
"713","TAX1BP1"
"714","TBC1D2B"
"715","TBC1D9"
"716","TCEA1"
"717","TCEB1"
"718","TCF21"
"719","TCOF1"
"720","TCP1"
"721","TDG"
"722","TDO2"
"723","TEK"
"724","TERF2IP"
"725","TFPI2"
"726","TGFBR3"
"727","THBD"
"728","TIMELESS"
"729","TIMM8B"
"730","TJP2"
"731","TLR3"
"732","TM9SF1"
"733","TM9SF3"
"734","TMEM100"
"735","TMEM45A"
"736","TMEM47"
"737","TMEM50A"
"738","TMEM66"
"739","TMEM97"
"740","TNFRSF1A"
"741","TNFRSF1B"
"742","TNXA"
"743","TNXB"
"744","TOMM20"
"745","TOP2A"
"746","TPD52"
"747","TPD52L1"
"748","TPM1"
"749","TPP1"
"750","TRAM1"
"751","TRIM24"
"752","TRIM28"
"753","TRIM31"
"754","TRIP13"
"755","TRMT1"
"756","TRMT5"
"757","TROAP"
"758","TRPC1"
"759","TSC22D3"
"760","TSG101"
"761","TSPAN12"
"762","TSPYL5"
"763","TTC35"
"764","TTK"
"765","TUBB"
"766","TXNDC5"
"767","TXNL1"
"768","TXNRD1"
"769","UBA52"
"770","UBE2A"
"771","UBE2E1"
"772","UBE2E3"
"773","UBE2V2"
"774","UFC1"
"775","UGDH"
"776","UGP2"
"777","UGT1A6"
"778","UNG"
"779","UPK3A"
"780","UQCRH"
"781","USP1"
"782","UTP18"
"783","VAMP5"
"784","VAPA"
"785","VDAC2"
"786","VPS26A"
"787","VPS28"
"788","VSIG4"
"789","WAPAL"
"790","WBP5"
"791","WDHD1"
"792","WDR12"
"793","WDR26"
"794","WDR45L"
"795","WFDC1"
"796","WWP1"
"797","XK"
"798","XPOT"
"799","XRCC6"
"800","YBX1"
"801","YTHDF3"
"802","YWHAQ"
"803","YWHAZ"
"804","YY1"
"805","ZC3H15"
"806","ZFPM2"
"807","ZHX2"
"808","ZMIZ1"
"809","ZMPSTE24"
"810","ZMYM1"
"811","ZNF473"
"812","ZNF706"
"813","HSF2"
